Letter,Drug Name,Price,Prescription Required (hkt-küb),Prosp,Active Ingredient,ATC Code,Prescription Status,Pharmaceutical Company,Barcode,Last Update Date,Detail Page URL,Nasıl Kullanılmalı?,Hangi Hastalıklar İçin Kullanılır?
A,A-FERIN 1 MG+160MG/5 ML PEDIYATRIK SURUP (100 ML),"86,99",Yes,No,parasetamol kombinasyon,R05X,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570570062,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-FERIN 300 MG/2 MG/10 MG KAPSUL (30 KAPSUL),"108,40",Yes,No,parasetamol kombinasyon,R05X,Kontrole Tabi Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570150011,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-FERIN FORTE 650 MG/4 MG FILM KAPLI TABLET (30 TABLET),"83,01",Yes,No,parasetamol kombinasyon,R05X,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570090058,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-FERIN PLUS 1 MG+15 MG+160MG/5 ML PEDIYATRIK SURUP (100 ML),"87,23",Yes,No,parasetamol kombinasyon,R05X,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570570147,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"A-FERIN SINUS 500/30/1,25 MG FILM KAPLI TABLET (20 TABLET)","113,62",Yes,No,parasetamol kombinasyon,R05X,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570090119,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-FERIN ZERO 120 MG/5 ML PEDIATRIK SURUP,"71,24",Yes,No,parasetamol,N02BE01,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570570246,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-FERIN ZERO 6 PLUS 250 MG/5 ML ORAL SUSPANSIYON (150 ML),"101,65",Yes,No,parasetamol,N02BE01,Beyaz Reçete ile satılır.,HÜSNÜ ARSAN İLAÇLARI A.Ş.,8699570700094,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-NOX FORT 550 MG 20 TABLET,"170,43",Yes,No,naproksen sodyum,M01AE02,Beyaz Reçete ile satılır.,AROMA İLAÇ SAN.LTD.ŞTİ.,8699651010210,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-PER 10 MG/ML I.V. INFUZYONLUK COZELTI (12 FLAKON),"714,02",Yes,No,parasetamol,N02BE01,Beyaz Reçete ile satılır.,AROMA İLAÇ SAN.LTD.ŞTİ.,8699651691211,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,A-PER SURUP 120 MG 150 ML,"111,81",Yes,No,parasetamol,N02BE01,Beyaz Reçete ile satılır.,AROMA İLAÇ SAN.LTD.ŞTİ.,8699651570097,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
